city,state,latitude,longitude,source_name,population
Dumas,AR,33.88705,-91.49179,Dumas,4323
Earle,AR,35.27509,-90.46677,Earle,2282
El Dorado,AR,33.20763,-92.66627,El Dorado,18386
Fayetteville,AR,36.06258,-94.15743,Fayetteville,82830
Forrest City,AR,35.00815,-90.78983,Forrest City,14672
Fort Smith,AR,35.38592,-94.39855,Fort Smith,88194
Gassville,AR,36.28312,-92.49405,Gassville,2133
Greenbrier,AR,35.23397,-92.38765,Greenbrier,5296
Gurdon,AR,33.92094,-93.15406,Gurdon,2144
Hardy,AR,36.3159,-91.48264,Hardy,759
Harrison,AR,36.22979,-93.10768,Harrison,13138
Hazen,AR,34.78093,-91.58097,Hazen,1404
Hensley,AR,34.50537,-92.2057,Hensley,139
Hot Springs National Park,AR,34.5037,-93.05518,Hot Springs,35635
Huntsville,AR,36.08619,-93.7413,Huntsville,2378
Jacksonville,AR,34.8662,-92.11015,Jacksonville,28643
Jonesboro,AR,35.8423,-90.70428,Jonesboro,73907
Lake City,AR,35.81619,-90.43427,Lake City,2324
Lake Village,AR,33.32873,-91.28178,Lake Village,2575
Little Rock,AR,34.74648,-92.28959,Little Rock,202591
Lonoke,AR,34.78398,-91.89986,Lonoke,4249
Lowell,AR,36.25535,-94.13076,Lowell,8549
Magnolia,AR,33.26707,-93.23933,Magnolia,11669
Malvern,AR,34.36231,-92.81295,Malvern,10928
Mansfield,AR,35.05954,-94.25271,Mansfield,1096
Marion,AR,35.21453,-90.19648,Marion,12292
Maumelle,AR,34.86676,-92.40432,Maumelle,17931
Mc Crory,AR,35.2562,-91.20012,McCrory,1601
Morrilton,AR,35.15092,-92.74405,Morrilton,6738
Mulberry,AR,35.50064,-94.05159,Mulberry,1634
Newport,AR,35.6048,-91.2818,Newport,7767
North Little Rock,AR,34.76954,-92.26709,North Little Rock,66504
Osceola,AR,35.70508,-89.96953,Osceola,7233
Ozark,AR,35.48703,-93.8277,Ozark,3590
Palestine,AR,34.97232,-90.90262,Palestine,623
Pine Bluff,AR,34.22843,-92.0032,Pine Bluff,44772
Pocahontas,AR,36.26146,-90.97123,Pocahontas,6438
Portia,AR,36.08646,-91.06735,Portia,420
Prescott,AR,33.80261,-93.38101,Prescott,3133
Rogers,AR,36.33202,-94.11854,Rogers,63159
Russellville,AR,35.27842,-93.13379,Russellville,29166
Searcy,AR,35.25064,-91.73625,Searcy,24196
Sheridan,AR,34.30704,-92.40127,Sheridan,4812
Springdale,AR,36.18674,-94.12881,Springdale,77859
Stuttgart,AR,34.50037,-91.55263,Stuttgart,9056
Texarkana,AR,33.44179,-94.03769,Texarkana,30353
Trumann,AR,35.67369,-90.50733,Trumann,7145
Turrell,AR,35.37981,-90.25787,Turrell,575
Warren,AR,33.61261,-92.06458,Warren,5804
West Helena,AR,34.5291,-90.59,Helena-West Helena,11109
West Memphis,AR,35.14648,-90.18454,West Memphis,25052
Wheatley,AR,34.91287,-91.11012,Wheatley,328
White Hall,AR,34.27399,-92.09098,White Hall,5180
Widener,AR,35.02343,-90.68483,Widener,252
Apache Junction,AZ,33.41505,-111.54958,Apache Junction,38074
Ash Fork,AZ,35.22501,-112.48407,Ash Fork,396
Avondale,AZ,33.4356,-112.3496,Avondale,80684
Bellemont,AZ,35.23807,-111.8335,Bellemont,0
Benson,AZ,31.96786,-110.29452,Benson,4888
Bowie,AZ,32.32647,-109.48701,Bowie,449
Buckeye,AZ,33.37032,-112.58378,Buckeye,50876
Chandler,AZ,33.30616,-111.84125,Chandler,260828
Claypool,AZ,33.41117,-110.84261,Claypool,1538
Dewey,AZ,34.53,-112.24222,Dewey-Humboldt,3894
Ehrenberg,AZ,33.60419,-114.52523,Ehrenberg,1470
Eloy,AZ,32.7559,-111.55484,Eloy,17059
Flagstaff,AZ,35.19807,-111.65127,Flagstaff,70320
Gila Bend,AZ,32.94782,-112.71683,Gila Bend,2025
Glendale,AZ,33.53865,-112.18599,Glendale,240126
Globe,AZ,33.39422,-110.7865,Globe,7396
Holbrook,AZ,34.90225,-110.15818,Holbrook,5019
Joseph City,AZ,34.95586,-110.33401,Joseph City,1386
Kingman,AZ,35.18944,-114.05301,Kingman,28912
Lake Havasu City,AZ,34.4839,-114.32245,Lake Havasu City,53553
Litchfield Park,AZ,33.49337,-112.35794,Litchfield Park,5533
Littlefield,AZ,36.89942,-113.93274,Beaver Dam,1962
Lupton,AZ,35.35391,-109.0537,Lupton,25
Marana,AZ,32.43674,-111.22538,Marana,41315
Mayer,AZ,34.39781,-112.23627,Mayer,1497
Mesa,AZ,33.42227,-111.82264,Mesa,471825
Nogales,AZ,31.34038,-110.93425,Nogales,20252
Page,AZ,36.91472,-111.45583,Page,7490
Payson,AZ,34.23087,-111.32514,Payson,15345
Phoenix,AZ,33.44838,-112.07404,Phoenix,1650070
Prescott,AZ,34.54002,-112.4685,Prescott,41899
Quartzsite,AZ,33.66391,-114.22995,Quartzsite,3626
Rio Rico,AZ,31.47148,-110.97648,Rio Rico,18962
Safford,AZ,32.83395,-109.70758,Safford,9683
Salome,AZ,33.78114,-113.61465,Salome,1530
San Simon,AZ,32.26786,-109.22756,San Simon,165
Show Low,AZ,34.25421,-110.02983,Show Low,10860
Sierra Vista,AZ,31.55454,-110.30369,Sierra Vista,43355
Springerville,AZ,34.13355,-109.28834,Springerville,1954
Surprise,AZ,33.63059,-112.33322,Surprise,143148
Tacna,AZ,32.69755,-113.95354,Tacna,602
Tolleson,AZ,33.45004,-112.25932,Tolleson,7008
Tonopah,AZ,33.49365,-112.93712,Tonopah,60
Tucson,AZ,32.22174,-110.92648,Tucson,542629
Wikieup,AZ,34.70335,-113.61132,Wikieup,133
Willcox,AZ,32.25285,-109.83201,Willcox,3552
Williams,AZ,35.24946,-112.191,Williams,3122
Winslow,AZ,35.02419,-110.69736,Winslow,9600
Wittmann,AZ,33.77642,-112.5285,Wittmann,763
Yucca,AZ,34.87223,-114.1494,Yucca,126
Yuma,AZ,32.72532,-114.6244,Yuma,95548
Brawley,CA,32.97866,-115.53027,Brawley,25897
Calexico,CA,32.67895,-115.49888,Calexico,40053
Coachella,CA,33.6803,-116.17389,Coachella,44635
El Centro,CA,32.792,-115.56305,El Centro,43956
Jacumba,CA,32.61756,-116.18974,Jacumba Hot Springs,561
Thermal,CA,33.6403,-116.13945,Thermal,2865
Westmorland,CA,33.03727,-115.62138,Westmorland,2267
Alamosa,CO,37.46945,-105.87002,Alamosa,9819
Atwood,CO,40.54776,-103.26966,Atwood,133
Aurora,CO,39.72943,-104.83192,Aurora,359407
Bennett,CO,39.75887,-104.42746,Bennett,2484
Berthoud,CO,40.30832,-105.08109,Berthoud,6031
Brighton,CO,39.98526,-104.82053,Brighton,37585
Brush,CO,40.25887,-103.62384,Brush,5459
Burlington,CO,39.30611,-102.26936,Burlington,3720
Canon City,CO,38.44098,-105.24245,Cañon City,16400
Colorado City,CO,37.94529,-104.83526,Colorado City,2193
Colorado Springs,CO,38.83388,-104.82136,Colorado Springs,456568
Commerce City,CO,39.80832,-104.93387,Commerce City,53696
Cortez,CO,37.34888,-108.58593,Cortez,8715
Craig,CO,40.51525,-107.54645,Craig,8844
Crook,CO,40.85888,-102.80103,Crook,110
De Beque,CO,39.33442,-108.21508,De Beque,496
Denver,CO,39.73915,-104.9847,Denver,729019
Dumont,CO,39.76471,-105.60028,Dumont,0
Durango,CO,37.27528,-107.88007,Durango,18006
Eads,CO,38.48056,-102.78186,Eads,608
Eaton,CO,40.53026,-104.71135,Eaton,4928
Erie,CO,40.05026,-105.04998,Erie,21420
Evans,CO,40.37637,-104.69219,Evans,21383
Fort Collins,CO,40.58526,-105.08442,Fort Collins,170924
Fort Morgan,CO,40.25026,-103.79995,Fort Morgan,11319
Fountain,CO,38.68222,-104.70081,Fountain,27767
Fruita,CO,39.15887,-108.72899,Fruita,12795
Golden,CO,39.75554,-105.2211,Golden,20330
Grand Junction,CO,39.06387,-108.55065,Grand Junction,60358
Greeley,CO,40.42331,-104.70913,Greeley,108795
Hudson,CO,40.07359,-104.64302,Hudson,1571
Johnstown,CO,40.33693,-104.9122,Johnstown,14896
Keenesburg,CO,40.10832,-104.51996,Keenesburg,1195
Kersey,CO,40.38748,-104.56163,Kersey,1577
Kremmling,CO,40.05887,-106.38892,Kremmling,1457
Lamar,CO,38.08723,-102.62075,Lamar,7555
Limon,CO,39.26388,-103.69217,Limon,1911
Longmont,CO,40.16721,-105.10193,Longmont,92088
Mead,CO,40.23332,-104.99859,Mead,4476
Meeker,CO,40.03747,-107.91313,Meeker,2362
Montrose,CO,38.47832,-107.87617,Montrose,19062
Monument,CO,39.09166,-104.87276,Monument,6420
Palisade,CO,39.11026,-108.35092,Palisade,2651
Parachute,CO,39.45192,-108.05285,Parachute,1105
Pueblo,CO,38.25445,-104.60914,Pueblo,109412
Rifle,CO,39.5347,-107.78312,Rifle,9563
Seibert,CO,39.29916,-102.8691,Seibert,220
Silt,CO,39.54859,-107.65617,Silt,3043
Sterling,CO,40.62554,-103.20771,Sterling,14104
Towaoc,CO,37.20444,-108.72954,Towaoc,1087
Trinidad,CO,37.16946,-104.50054,Trinidad,8153
Walsenburg,CO,37.62418,-104.78026,Walsenburg,2898
Watkins,CO,39.74526,-104.60747,Watkins,0
Wellington,CO,40.70387,-105.00859,Wellington,7807
Wheat Ridge,CO,39.7661,-105.07721,Wheat Ridge,31192
Wiggins,CO,40.23054,-104.07273,Wiggins,893
Windsor,CO,40.47748,-104.90136,Windsor,32716
Wray,CO,40.07582,-102.22325,Wray,2378
Yuma,CO,40.12221,-102.72521,Yuma,3596
Branford,CT,41.27954,-72.8151,Branford,29438
Bridgeport,CT,41.17923,-73.18945,Bridgeport,147629
Danbury,CT,41.39482,-73.45401,Danbury,84657
Darien,CT,41.07871,-73.46929,Darien,20732
East Granby,CT,41.94121,-72.72732,East Granby,0
East Lyme,CT,41.36899,-72.21758,Flanders,0
East Windsor,CT,41.91232,-72.54509,East Windsor,4069
Hartford,CT,41.76371,-72.68509,Hartford,121054
Madison,CT,41.27954,-72.59843,Madison,19100
Milford,CT,41.22232,-73.0565,Milford,52759
Milldale,CT,41.56593,-72.89177,Milldale,0
New Haven,CT,41.30815,-72.92816,New Haven,130322
North Haven,CT,41.39093,-72.85954,North Haven,24093
North Stonington,CT,41.44093,-71.88118,North Stonington,0
Plainfield,CT,41.67649,-71.91507,Plainfield,15498
South Windsor,CT,41.82371,-72.6212,South Windsor,24412
Waterbury,CT,41.55815,-73.0515,Waterbury,108802
West Haven,CT,41.27065,-72.94705,West Haven,54927
Willington,CT,41.48593,-72.35536,Millington,0
Bridgeville,DE,38.74261,-75.60437,Bridgeville,2256
Felton,DE,39.00845,-75.57798,Felton,1402
Greenwood,DE,38.80706,-75.59132,Greenwood,1066
Laurel,DE,38.5565,-75.57131,Laurel,4075
Middletown,DE,39.44956,-75.71632,Middletown,20372
New Castle,DE,39.65948,-75.56359,New Castle,5382
Newark,DE,39.68372,-75.74966,Newark,33817
Seaford,DE,38.64123,-75.61104,Seaford,7586
Baker,FL,30.16604,-85.68576,Baker,0
Bartow,FL,27.89641,-81.84314,Bartow,18972
Blountstown,FL,30.44379,-85.04744,Blountstown,2497
Bonita Springs,FL,26.33981,-81.7787,Bonita Springs,51704
Boynton Beach,FL,26.52535,-80.06643,Boynton Beach,73966
Bradenton,FL,27.49893,-82.57482,Bradenton,54437
Branford,FL,29.95912,-82.92818,Branford,721
Brooksville,FL,28.55554,-82.38991,Brooksville,7854
Bushnell,FL,28.66499,-82.11286,Bushnell,2995
Callahan,FL,30.56218,-81.83066,Callahan,1185
Chiefland,FL,29.47496,-82.85984,Chiefland,2218
Clearwater,FL,27.96585,-82.8001,Clearwater,117292
Cocoa,FL,28.38612,-80.742,Cocoa,17711
Cottondale,FL,30.79714,-85.3766,Cottondale,900
Dade City,FL,28.36472,-82.19592,Dade City,6955
Davenport,FL,28.1614,-81.60174,Davenport,3534
Defuniak Springs,FL,30.72102,-86.11522,DeFuniak Springs,5795
Ellenton,FL,27.52171,-82.5276,Ellenton,4275
Fort Lauderdale,FL,26.12231,-80.14338,Fort Lauderdale,183146
Fort Myers,FL,26.62168,-81.84059,Fort Myers,74013
Fort Pierce,FL,27.44671,-80.32561,Fort Pierce,44484
Gainesville,FL,29.65163,-82.32483,Gainesville,145214
Grand Ridge,FL,30.71291,-85.02328,Grand Ridge,872
Haines City,FL,28.1145,-81.62009,Haines City,22807
Hastings,FL,29.71802,-81.50813,Hastings,632
Hawthorne,FL,29.59191,-82.08732,Hawthorne,1492
Hialeah,FL,25.8576,-80.27811,Hialeah,237069
Homestead,FL,25.46872,-80.47756,Homestead,80737
Hosford,FL,30.38705,-84.79943,Hosford,650
Hudson,FL,28.36445,-82.69343,Hudson,12158
Immokalee,FL,26.41869,-81.4173,Immokalee,24154
Jacksonville,FL,30.33218,-81.65565,Jacksonville,1009833
Jasper,FL,30.51827,-82.94819,Jasper,4155
Jennings,FL,30.6041,-83.09792,Jennings,870
Jupiter,FL,26.93422,-80.09421,Jupiter,62707
Kissimmee,FL,28.30468,-81.41667,Kissimmee,69152
Labelle,FL,26.76173,-81.43841,LaBelle,4753
Lake Butler,FL,28.50167,-81.54091,Lake Butler,15400
Lake City,FL,30.18968,-82.63929,Lake City,12161
Lake Panasoffkee,FL,28.777,-82.12,Lake Panasoffkee,3551
Lake Placid,FL,27.29834,-81.37124,Lake Placid,2164
Lake Wales,FL,27.90141,-81.58591,Lake Wales,15541
Lakeland,FL,28.03947,-81.9498,Lakeland,104401
Lamont,FL,30.37715,-83.81294,Lamont,178
Land O Lakes,FL,28.2189,-82.45759,Land O' Lakes,31996
Lawtey,FL,30.04413,-82.07177,Lawtey,719
Lecanto,FL,28.85165,-82.4876,Lecanto,5882
Lee,FL,28.81082,-81.87786,Leesburg,21993
Leesburg,FL,28.81082,-81.87786,Leesburg,21993
Live Oak,FL,30.29495,-82.98402,Live Oak,6931
Macclenny,FL,30.28218,-82.12206,Macclenny,6487
Madison,FL,30.46938,-83.41293,Madison,2880
Marathon,FL,24.71375,-81.09035,Marathon,8750
Marianna,FL,30.77436,-85.22687,Marianna,9100
Mascotte,FL,28.57833,-81.88675,Mascotte,5473
Mc Alpin,FL,30.13912,-82.9518,McAlpin,0
Miami,FL,25.77427,-80.19366,Miami,487014
Middleburg,FL,30.06885,-81.86038,Middleburg,13008
Midway,FL,30.40648,-87.00553,Midway,16115
Milton,FL,30.63241,-87.03969,Milton,9628
Mims,FL,28.66527,-80.84478,Mims,7058
Moore Haven,FL,26.83312,-81.09312,Moore Haven,1794
Nokomis,FL,27.11922,-82.44426,Nokomis,3167
North Fort Myers,FL,26.66729,-81.88009,North Fort Myers,39407
Ocala,FL,29.1872,-82.14009,Ocala,58218
Okeechobee,FL,27.24393,-80.82978,Okeechobee,5608
Opa Locka,FL,25.90232,-80.25033,Opa-locka,16565
Orlando,FL,28.53834,-81.37924,Orlando,334854
Ormond Beach,FL,29.28581,-81.05589,Ormond Beach,40970
Palatka,FL,29.64858,-81.63758,Palatka,10390
Palm Bay,FL,28.03446,-80.58866,Palm Bay,119760
Palmetto,FL,27.52143,-82.57232,Palmetto,13249
Panama City,FL,30.15946,-85.65983,Panama City,38286
Pensacola,FL,30.42131,-87.21691,Pensacola,53724
Perry,FL,30.11766,-83.58274,Perry,7055
Pierson,FL,29.23942,-81.46563,Pierson,1772
Plant City,FL,28.01888,-82.11469,Plant City,37406
Polk City,FL,28.18251,-81.82397,Polk City,1907
Pompano Beach,FL,26.23786,-80.12477,Pompano Beach,107762
Punta Gorda,FL,26.92978,-82.04537,Punta Gorda,18150
Reddick,FL,29.36664,-82.19732,Reddick,518
Saint Augustine,FL,29.89469,-81.31452,Saint Augustine,12975
Saint Johns,FL,30.0815,-81.54774,St. Johns,40000
San Antonio,FL,28.33611,-82.27453,San Antonio,1308
Sebring,FL,27.49559,-81.44091,Sebring,10497
Seffner,FL,27.98363,-82.27565,Seffner,7579
South Bay,FL,26.66396,-80.71617,South Bay,5101
Summerfield,FL,29.00859,-82.03481,Summerfield,0
Tallahassee,FL,30.43826,-84.28073,Tallahassee,201731
Tampa,FL,27.94752,-82.45843,Tampa,414547
Vero Beach,FL,27.63864,-80.39727,Vero Beach,16358
Waldo,FL,29.78969,-82.16732,Waldo,1030
Webster,FL,28.60999,-82.05508,Webster,995
West Palm Beach,FL,26.71534,-80.05337,West Palm Beach,120932
Wildwood,FL,28.86542,-82.04058,Wildwood,6590
Winter Garden,FL,28.56528,-81.58618,Winter Garden,40356
Youngstown,FL,30.36436,-85.43826,Youngstown,4324
Yulee,FL,30.6319,-81.60649,Yulee,11491
Zellwood,FL,28.73111,-81.60118,Zellwood,2817
Acworth,GA,34.06635,-84.67837,Acworth,22131
Adairsville,GA,34.3687,-84.93411,Adairsville,4778
Adel,GA,31.13727,-83.42408,Adel,5316
Albany,GA,31.57851,-84.15574,Albany,74843
Alma,GA,31.53937,-82.46236,Alma,3536
Alpharetta,GA,34.07538,-84.29409,Alpharetta,63693
Americus,GA,32.07239,-84.23269,Americus,16028
Athens,GA,33.96095,-83.37794,Athens,127315
Atlanta,GA,33.749,-84.38798,Atlanta,510823
Attapulgus,GA,30.74932,-84.48568,Attapulgus,435
Augusta,GA,33.47097,-81.97484,Augusta,43459
Bainbridge,GA,30.9038,-84.57547,Bainbridge,12507
Baxley,GA,31.77825,-82.34846,Baxley,4440
Bethlehem,GA,33.93206,-83.71378,Bethlehem,671
Blackshear,GA,31.30605,-82.24207,Blackshear,3581
Bloomingdale,GA,32.13242,-81.299,Bloomingdale,2764
Blythe,GA,33.29264,-82.20151,Blythe,701
Braselton,GA,34.10927,-83.76267,Braselton,9476
Bremen,GA,33.72122,-85.1455,Bremen,6355
Brunswick,GA,31.15013,-81.49147,Brunswick,16157
Buena Vista,GA,32.31904,-84.51714,Buena Vista,2206
Byron,GA,32.65376,-83.75963,Byron,5105
Cairo,GA,30.87751,-84.20214,Cairo,9752
Calhoun,GA,34.50259,-84.95105,Calhoun,16309
Camilla,GA,31.23129,-84.21046,Camilla,5089
Carnesville,GA,34.36983,-83.23516,Carnesville,580
Cartersville,GA,34.16533,-84.80231,Cartersville,20319
Chatsworth,GA,34.76591,-84.76994,Chatsworth,4351
Clarkesville,GA,34.6126,-83.52489,Clarkesville,1746
Columbus,GA,32.46098,-84.98771,Columbus,206922
Commerce,GA,34.204,-83.45711,Commerce,6762
Conley,GA,33.64483,-84.32576,Conley,6228
Cordele,GA,31.96351,-83.78239,Cordele,10943
Crawfordville,GA,33.55402,-82.89598,Crawfordville,508
Cusseta,GA,32.30543,-84.7727,Cusseta,11267
Cuthbert,GA,31.77127,-84.78937,Cuthbert,3670
Dacula,GA,33.98872,-83.89796,Dacula,5330
Dalton,GA,34.7698,-84.97022,Dalton,33853
Darien,GA,31.37023,-81.43399,Darien,1858
Dawson,GA,31.77382,-84.448,Dawson,4353
Dawsonville,GA,34.50259,-84.95105,Calhoun,16309
Donalsonville,GA,31.04046,-84.87909,Donalsonville,2675
Douglas,GA,31.50881,-82.84987,Douglas,11718
Dublin,GA,32.54044,-82.90375,Dublin,16197
Dudley,GA,32.54239,-83.07043,Dudley,570
East Dublin,GA,32.54822,-82.87181,East Dublin,2392
Eatonton,GA,33.3268,-83.3885,Eatonton,6520
Elberton,GA,34.11159,-82.86863,Elberton,4453
Ellabell,GA,32.12354,-81.48567,Ellabell,0
Ellenwood,GA,33.61011,-84.28798,Ellenwood,0
Emerson,GA,34.12704,-84.75549,Emerson,1535
Fairburn,GA,33.56706,-84.58104,Fairburn,13967
Folkston,GA,30.83095,-82.01131,Folkston,5247
Forest Park,GA,33.62205,-84.36909,Forest Park,19383
Forsyth,GA,33.0343,-83.93824,Forsyth,4013
Fort Valley,GA,32.55376,-83.88741,Fort Valley,8597
Fortson,GA,32.60708,-84.93715,Fortson,0
Gainesville,GA,34.29788,-83.82407,Gainesville,38712
Gordon,GA,32.88209,-83.33238,Gordon,1956
Greensboro,GA,33.57568,-83.18238,Greensboro,3403
Griffin,GA,33.24678,-84.26409,Griffin,23211
Grovetown,GA,33.45042,-82.19818,Grovetown,13093
Guyton,GA,32.3363,-81.3915,Guyton,1856
Hahira,GA,30.99131,-83.37266,Hahira,2899
Hampton,GA,33.38706,-84.28298,Hampton,7372
Harlem,GA,33.41458,-82.31262,Harlem,2967
Hawkinsville,GA,32.28377,-83.47212,Hawkinsville,5471
Hazlehurst,GA,31.86963,-82.5943,Hazlehurst,4196
Hephzibah,GA,33.31403,-82.09679,Hephzibah,3936
Hogansville,GA,33.17318,-84.91494,Hogansville,3110
Homerville,GA,31.0366,-82.74708,Homerville,2480
Jackson,GA,32.65376,-83.75963,Byron,5105
Jasper,GA,34.46787,-84.42909,Jasper,3762
Jefferson,GA,34.11705,-83.57239,Jefferson,10195
Jeffersonville,GA,34.11705,-83.57239,Jefferson,10195
Jesup,GA,31.60785,-81.88634,Jesup,9633
Kingsland,GA,30.79996,-81.68983,Kingsland,16487
Lagrange,GA,33.03929,-85.03133,LaGrange,29588
Lake Park,GA,30.68215,-83.17959,Lake Park,730
Leesburg,GA,31.73212,-84.17074,Leesburg,2983
Lithia Springs,GA,33.794,-84.66049,Lithia Springs,15491
Lithonia,GA,33.71233,-84.10519,Lithonia,2022
Louisville,GA,33.00154,-82.41124,Louisville,2358
Lula,GA,34.3876,-83.66629,Lula,2879
Lumber City,GA,31.92935,-82.67958,Lumber City,1254
